"modalite","effectif"
"Résumer ou reformuler des textes, articles ou cours",140
"Trouver des explications sur un concept scientifique ou technique",100
"Vérifier la qualité linguistique ou la clarté d’un texte",99
"Préparer ou structurer un exposé, un mémoire ou un rapport",94
"Créer des quiz, exercices ou fiches de révision",88
"Générer des images ou des vidéos",71
"Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.)",66
"Concevoir des supports visuels (infographies, schémas, présentations)",57
"Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…)",47
"Simuler ou analyser un cas pratique (clinique, technique ou expérimental)",44
"Planifier votre travail ou organiser votre emploi du temps",35
"Concevoir ou optimiser un modèle / prototype / protocole",27
"Autre",15
"Non-reponse",12
