"modalite","effectif"
"Vous ne voulez/pas ou ne pouvez pas payer les versions premium",95
"Vous craignez de devenir dépendant",85
"Vous êtes préoccupé par les conséquences environnementales",76
"Vous craignez d’être accusé de triche",69
"Vous craignez pour la confidentialité des données",66
"Vos enseignants interdisent leur utilisation",65
"Vous préférez faire les choses par vous-même",56
"Vous considérez que c’est une forme de triche",46
"Vous êtes préoccupé par les conséquences sociales et économiques",43
"Vous n’avez pas besoin",22
"Vous ne savez pas très bien vous en servir",18
"Autre",5
"Non-reponse",20
