"Sexe","Annee","Mention","Naissance...Age","Bourse","Régime.d.inscription..lib..long.","Bac.ou.équivalence..lib..long.","Série.de.bac","w_sexe","w_annee","w_mention","Poids_Final","X36..ChatGPT","X37..DeepL","X38..Copilot","X39..Grammarly","X40..Perplexity","X41..Autre","X43..RS_PN_IA_bes_form","X44..RP_RPT_IA_formation","X45..RP_PN_IA_usages","X46..RP_PN_IA_usages_Autre","X47..RP_PN_IA_raisons","X48..RP_PN_IA_raisons_Autre","X53..RP_PN_IALimites","X54..RP_PN_IALimites_Autre"
"F","BUT2","Carrières Juridiques",19,"Non boursier","Formation initiale","Série générale","Bac général",0.75,0.82,0.61,0.37,"Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.","","Vous préférez faire les choses par vous-même;Vos enseignants interdisent leur utilisation;Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques",""
"F","BUT1","Carrières Juridiques",19,"Non boursier","Formation initiale","Série générale","Bac général",0.75,0.89,0.61,0.41,"Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Oui","Oui, de votre propre initiative, en consultant des ressources sur le sujet","Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous craignez de devenir dépendant",""
"F","BUT1","Carrières Juridiques",18,"Non boursier","Formation initiale","Série générale","Bac général",0.75,0.89,0.61,0.41,"Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vos enseignants interdisent leur utilisation",""
"F","BUT1","Carrières Juridiques",18,"Non boursier","Formation initiale","Série générale","Bac général",0.75,0.89,0.61,0.41,"Une à deux fois par semaine","Vous ne la connaissez pas","Une à deux fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Résumer ou reformuler des textes, articles ou cours;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"F","BUT2","Carrières Juridiques",18,"Non boursier","Formation initiale","Série générale","Bac général",0.75,0.82,0.61,0.37,"Tous les jours ou presque","Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Vous ne la connaissez pas","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Résumer ou reformuler des textes, articles ou cours;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail","","Vos enseignants interdisent leur utilisation;Vous êtes préoccupé par les conséquences environnementales;Vous craignez de devenir dépendant",""
"F","BUT1","Carrières Juridiques",18,"Non boursier","Formation initiale","STMG - sp. Mercatique","Bac STMG",0.75,0.89,0.61,0.41,"Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Résumer ou reformuler des textes, articles ou cours;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous craignez de devenir dépendant",""
"F","BUT1","Carrières Juridiques",18,"Boursier","Formation initiale","Série générale","Bac général",0.75,0.89,0.61,0.41,"Tous les jours ou presque","Moins d’une fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","","Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.","","Vous n’avez pas besoin",""
"F","BUT2","Carrières Juridiques",19,"Non boursier","Formation initiale","Série générale","Bac général",0.75,0.82,0.61,0.37,"Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Non","Oui :  un ou des membres de l’équipe pédagogique vous forment à l’usage de ces outils sans que ce soit des cours spécifiques","Résumer ou reformuler des textes, articles ou cours","","Gagner du temps","","Vous craignez d’être accusé de triche",""
"F","BUT1","Carrières Juridiques",18,"Non boursier","Formation initiale","Série générale","Bac général",0.75,0.89,0.61,0.41,"Tous les jours ou presque","Moins d’une fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Une à deux fois par mois","Vous ne la connaissez pas","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Résumer ou reformuler des textes, articles ou cours;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous êtes préoccupé par les conséquences environnementales;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"F","BUT1","Carrières Juridiques",18,"Non boursier","Formation initiale","Série générale","Bac général",0.75,0.89,0.61,0.41,"Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par semaine","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous considérez que c’est une forme de triche",""
